ID_0,ISO,NAME_0,ID_12,NAME_12,ID_23,NAME_23,2014_Popul,Poverty_Ra,2014_Pover
163,NGA,Nigeria,3,Akwa Ibom,68,UrueOffo,77115,0.312526,24259
163,NGA,Nigeria,3,Akwa Ibom,69,Uyo,369437,0.175497,52466
163,NGA,Nigeria,4,Anambra,70,Aguata,448890,0.0499184,21662
163,NGA,Nigeria,4,Anambra,71,Anambra East,511010,0.172274,39023
163,NGA,Nigeria,4,Anambra,72,Anambra West,166637,0.283385,42610
163,NGA,Nigeria,4,Anambra,73,Anaocha,386118,0.0451305,16853
163,NGA,Nigeria,4,Anambra,74,AwkaNort,185090,0.14495,22996
163,NGA,Nigeria,4,Anambra,75,AwkaSout,342806,0.0410233,12352
163,NGA,Nigeria,4,Anambra,76,Ayamelum,193917,0.28355,55524
163,NGA,Nigeria,4,Anambra,77,Dunukofia,160814,0.0844126,13082
163,NGA,Nigeria,4,Anambra,78,Ekwusigo,184601,0.0756879,12259
163,NGA,Nigeria,4,Anambra,79,Idemili North,291388,0.0533404,14237
163,NGA,Nigeria,4,Anambra,80,Idemili South,258144,0.0515196,10907
163,NGA,Nigeria,4,Anambra,81,Ihiala,253694,0.144963,31314
163,NGA,Nigeria,4,Anambra,82,Njikoka,275194,0.0505555,14811
163,NGA,Nigeria,4,Anambra,83,NnewiNort,206316,0.0432129,7371
163,NGA,Nigeria,4,Anambra,84,NnewiSou,323340,0.0661333,23633
163,NGA,Nigeria,4,Anambra,85,Ogbaru,105489,0.0996213,10930
163,NGA,Nigeria,4,Anambra,86,Onitsha North,157180,0.0207305,3222
163,NGA,Nigeria,4,Anambra,87,Onitsha South,12742,0.0516625,583
163,NGA,Nigeria,4,Anambra,88,OrumbaNo,341556,0.133973,36834
163,NGA,Nigeria,4,Anambra,89,OrumbaSo,217738,0.240363,52872
163,NGA,Nigeria,4,Anambra,90,Oyi,413694,0.0578241,19793
163,NGA,Nigeria,5,Bauchi,91,Alkaleri,427773,0.474774,196414
163,NGA,Nigeria,5,Bauchi,92,Bauchi,759674,0.370981,89509
163,NGA,Nigeria,5,Bauchi,93,Bogoro,75054,0.50068,36743
163,NGA,Nigeria,5,Bauchi,94,Damban,160741,0.587788,96273
163,NGA,Nigeria,5,Bauchi,95,Darazo,237693,0.437971,104673
163,NGA,Nigeria,5,Bauchi,96,Dass,95446,0.453864,45840
163,NGA,Nigeria,5,Bauchi,97,Gamawa,343733,0.622473,217869
163,NGA,Nigeria,5,Bauchi,98,Gamjuwa,344488,0.495026,170307
163,NGA,Nigeria,5,Bauchi,99,Giade,141602,0.40469,55984
163,NGA,Nigeria,5,Bauchi,100,Itas/Gad,270024,0.306167,70921
163,NGA,Nigeria,5,Bauchi,101,Jama'are,177802,0.301238,47765
163,NGA,Nigeria,5,Bauchi,102,Katagum,529157,0.415998,183538
163,NGA,Nigeria,5,Bauchi,103,Kirfi,188380,0.409133,78648
163,NGA,Nigeria,5,Bauchi,104,Misau,305665,0.315857,81067
163,NGA,Nigeria,5,Bauchi,105,Ningi,514395,0.465733,237526
163,NGA,Nigeria,5,Bauchi,106,Shira,217552,0.50989,108041
163,NGA,Nigeria,5,Bauchi,107,Tafawa-B,239030,0.459648,110139
163,NGA,Nigeria,5,Bauchi,108,Toro,452403,0.518579,234115
163,NGA,Nigeria,5,Bauchi,109,Warji,127778,0.5286,64870
163,NGA,Nigeria,5,Bauchi,110,Zaki,241018,0.548602,132583
163,NGA,Nigeria,6,Bayelsa,111,Brass,249621,0.341754,80404
163,NGA,Nigeria,6,Bayelsa,112,Ekeremor,307087,0.401266,120052
163,NGA,Nigeria,6,Bayelsa,113,Kolokuma/Opokuma,121349,0.154525,16362
163,NGA,Nigeria,6,Bayelsa,114,Nembe,153632,0.431098,66295
163,NGA,Nigeria,6,Bayelsa,115,Ogbia,213438,0.149506,26669
163,NGA,Nigeria,6,Bayelsa,116,Sagbama,210158,0.18814,34486
163,NGA,Nigeria,6,Bayelsa,117,Southern Ijaw,376447,0.391353,148556
163,NGA,Nigeria,6,Bayelsa,118,Yenegoa,398796,0.0637391,20691
163,NGA,Nigeria,7,Benue,119,Ado,200683,0.789235,153077
163,NGA,Nigeria,7,Benue,120,Agatu,158207,0.360905,56762
163,NGA,Nigeria,7,Benue,121,Apa,111443,0.280878,30928
163,NGA,Nigeria,7,Benue,122,Buruku,277604,0.413244,115902
163,NGA,Nigeria,7,Benue,123,Gboko,505958,0.435929,156752
163,NGA,Nigeria,7,Benue,124,Guma,250144,0.38319,90664
163,NGA,Nigeria,7,Benue,125,Gwer East,258238,0.347521,86884
163,NGA,Nigeria,7,Benue,126,GwerWest,150952,0.418945,59663
163,NGA,Nigeria,7,Benue,127,Katsina (Benue),347319,0.496439,161562
163,NGA,Nigeria,7,Benue,128,Konshish,252927,0.501355,127228
163,NGA,Nigeria,7,Benue,129,Kwande,259864,0.502398,129118
163,NGA,Nigeria,7,Benue,130,Logo,178054,0.40159,69120
163,NGA,Nigeria,7,Benue,131,Makurdi,457473,0.3623,81298
163,NGA,Nigeria,7,Benue,132,Obi,82543,0.416685,29156
163,NGA,Nigeria,7,Benue,133,Ogbadibo,206085,0.46829,98032
163,NGA,Nigeria,7,Benue,134,Ohimini,103412,0.273532,29332
163,NGA,Nigeria,7,Benue,135,Oju,182001,0.562744,93596
163,NGA,Nigeria,7,Benue,136,Okpokwu,180981,0.557299,85450
163,NGA,Nigeria,7,Benue,137,Oturkpo,369510,0.246264,58437
163,NGA,Nigeria,7,Benue,138,Tarka,68441,0.355667,21483
163,NGA,Nigeria,7,Benue,139,Ukum,256892,0.456345,111067
163,NGA,Nigeria,7,Benue,140,Ushongo,299194,0.519856,154328
163,NGA,Nigeria,7,Benue,141,Vandeiky,217977,0.559216,120875
163,NGA,Nigeria,8,Borno,142,Abadam,83113,0.39648,31093
163,NGA,Nigeria,8,Borno,143,Askira/U,234634,0.557487,132025
163,NGA,Nigeria,8,Borno,144,Bama,244593,0.259279,41528
163,NGA,Nigeria,8,Borno,145,Bayo,93116,0.269696,24744
163,NGA,Nigeria,8,Borno,146,Biu,218370,0.348162,40325
163,NGA,Nigeria,8,Borno,147,Chibok,79835,0.551262,45315
163,NGA,Nigeria,8,Borno,148,Damboa,363907,0.528514,191394
163,NGA,Nigeria,8,Borno,149,Dikwa,119306,0.28219,34608
163,NGA,Nigeria,8,Borno,150,Gubio,173890,0.357535,62115
163,NGA,Nigeria,8,Borno,151,Guzamala,120993,0.320498,33349
163,NGA,Nigeria,8,Borno,152,Gwoza,271030,0.339741,76165
163,NGA,Nigeria,8,Borno,153,Hawul,159170,0.50483,63699
163,NGA,Nigeria,8,Borno,154,Jere,101914,0.197375,12898
163,NGA,Nigeria,8,Borno,155,Kaga,95024,0.379671,35842
163,NGA,Nigeria,8,Borno,156,Kala/Balge,52443,0.334763,16021
163,NGA,Nigeria,8,Borno,157,Konduga,840424,0.230662,60718
163,NGA,Nigeria,8,Borno,158,Kukawa,126766,0.182909,20424
163,NGA,Nigeria,8,Borno,159,Kwaya Kusar,60650,0.278876,16413
163,NGA,Nigeria,8,Borno,160,Mafa,136501,0.27338,37352
163,NGA,Nigeria,8,Borno,161,Magumeri,185903,0.285684,51412
163,NGA,Nigeria,8,Borno,162,Maidugur,463672,0.0813116,9996
163,NGA,Nigeria,8,Borno,163,Marte,181175,0.362633,65229
163,NGA,Nigeria,8,Borno,164,Mobbar,159132,0.452298,67712
163,NGA,Nigeria,8,Borno,165,Monguno,101125,0.208553,19841
163,NGA,Nigeria,8,Borno,166,Ngala,208217,0.356869,62420
163,NGA,Nigeria,8,Borno,167,Nganzai,116244,0.232543,27234
163,NGA,Nigeria,8,Borno,168,Shani,127617,0.494588,65517
163,NGA,Nigeria,9,Cross River,169,Abi,223863,0.713566,166890
163,NGA,Nigeria,9,Cross River,170,Akamkpa,278241,0.462113,112577
163,NGA,Nigeria,9,Cross River,171,Akpabuyo,378732,0.379,125734
163,NGA,Nigeria,9,Cross River,172,Bakassi,13584,0.443775,4867
163,NGA,Nigeria,9,Cross River,173,Bekwarra,120857,0.473877,55796
163,NGA,Nigeria,9,Cross River,174,Biase,199085,0.319517,65692
163,NGA,Nigeria,9,Cross River,175,Boki,227175,0.569013,120268
163,NGA,Nigeria,9,Cross River,176,Calabar South,31955,0.425436,11467
163,NGA,Nigeria,9,Cross River,177,Calabar,455914,0.203327,63016
163,NGA,Nigeria,9,Cross River,178,Etung,94259,0.547089,50960
163,NGA,Nigeria,9,Cross River,179,Ikom,259566,0.572614,120022
163,NGA,Nigeria,9,Cross River,180,Obanliku,167351,0.595825,91008
163,NGA,Nigeria,9,Cross River,181,Obubra,230686,0.669857,159101
163,NGA,Nigeria,9,Cross River,182,Obudu,134577,0.498212,66466
163,NGA,Nigeria,9,Cross River,183,Odukpani,175642,0.453784,80529
163,NGA,Nigeria,9,Cross River,184,Ogoja,195803,0.518643,98896
163,NGA,Nigeria,9,Cross River,185,Yakurr,238013,0.413409,105162
163,NGA,Nigeria,9,Cross River,186,Yala Cross,265122,0.591091,152084
163,NGA,Nigeria,10,Delta,187,AniochaN,144833,0.10741,15689
163,NGA,Nigeria,10,Delta,188,AniochaS,165134,0.0768256,12408
163,NGA,Nigeria,10,Delta,189,Bomadi,90130,0.166212,12791
163,NGA,Nigeria,10,Delta,190,Burutu,222191,0.285916,53715
163,NGA,Nigeria,10,Delta,191,Ethiope West,333022,0.098678,23842
163,NGA,Nigeria,10,Delta,192,EthiopeE,229511,0.119072,21404
163,NGA,Nigeria,10,Delta,193,IkaNorth,212454,0.060139,14904
163,NGA,Nigeria,10,Delta,194,IkaSouth,233917,0.0509563,12717
163,NGA,Nigeria,10,Delta,195,IsokoNor,172632,0.0803257,13385
163,NGA,Nigeria,10,Delta,196,IsokoSou,271392,0.105873,24386
163,NGA,Nigeria,10,Delta,197,Ndokwa East,141997,0.0801714,11435
163,NGA,Nigeria,10,Delta,198,Ndokwa West,183109,0.0534494,9172
163,NGA,Nigeria,10,Delta,199,Okpe,163450,0.0969094,16504
163,NGA,Nigeria,10,Delta,200,Oshimili North,130000,0.0710038,8592
163,NGA,Nigeria,10,Delta,201,Oshimili South,204376,0.0670613,4111
163,NGA,Nigeria,10,Delta,202,Patani,75392,0.0846155,7116
163,NGA,Nigeria,10,Delta,203,Sapele,163773,0.104389,6377
163,NGA,Nigeria,10,Delta,204,Udu,215801,0.0505884,9345
163,NGA,Nigeria,10,Delta,205,Ughelli North,418462,0.0987203,30138
163,NGA,Nigeria,10,Delta,206,Ughelli South,239057,0.117928,27193
163,NGA,Nigeria,10,Delta,207,Ukwuani,145498,0.037753,4238
163,NGA,Nigeria,10,Delta,208,Uvwie,289312,0.0166406,4621
163,NGA,Nigeria,10,Delta,209,Warri North,143986,0.171989,25514
163,NGA,Nigeria,10,Delta,210,Warri South-West,114838,0.257275,24648
163,NGA,Nigeria,10,Delta,211,Warri South,334844,0.288232,25115
163,NGA,Nigeria,11,Ebonyi,212,Abakalik,154014,0.858238,77376
163,NGA,Nigeria,11,Ebonyi,213,Afikpo,163270,0.747829,129961
163,NGA,Nigeria,11,Ebonyi,214,AfikpoSo,180734,0.499611,91874
163,NGA,Nigeria,11,Ebonyi,215,Ebonyi,265815,0.64847,104934
163,NGA,Nigeria,11,Ebonyi,216,Ezza North,158054,0.844616,131690
163,NGA,Nigeria,11,Ebonyi,217,Ezza South,168892,0.903956,151608
163,NGA,Nigeria,11,Ebonyi,218,Ikwo,215257,0.914384,197512
163,NGA,Nigeria,11,Ebonyi,219,Ishielu,185960,0.676868,127976
163,NGA,Nigeria,11,Ebonyi,220,Ivo,148442,0.579923,94259
163,NGA,Nigeria,11,Ebonyi,221,Izzi,280797,0.783522,218751
163,NGA,Nigeria,11,Ebonyi,222,Ohaozara,167245,0.84278,140108
163,NGA,Nigeria,11,Ebonyi,223,Ohaukwu,253736,0.86209,220785
163,NGA,Nigeria,11,Ebonyi,224,Onicha,256563,0.807146,204725
163,NGA,Nigeria,12,Edo,225,Akoko-Ed,307329,0.215866,63459
163,NGA,Nigeria,12,Edo,226,Egor,385746,0.13226,32015
163,NGA,Nigeria,12,Edo,227,EsanCent,111525,0.159526,17966
163,NGA,Nigeria,12,Edo,228,EsanNort,153967,0.171625,20168
163,NGA,Nigeria,12,Edo,229,EsanSout,212097,0.150051,31494
163,NGA,Nigeria,12,Edo,230,EsanWest,173723,0.179882,24681
163,NGA,Nigeria,12,Edo,231,Etsako Central,106931,0.234214,26058
163,NGA,Nigeria,12,Edo,232,EtsakoEa,196800,0.22533,41197
163,NGA,Nigeria,12,Edo,233,EtsakoWe,283735,0.222079,54122
163,NGA,Nigeria,12,Edo,234,Igueben,74768,0.176418,12160
163,NGA,Nigeria,12,Edo,235,Ikpoba-Okha,812212,0.158422,74332
163,NGA,Nigeria,12,Edo,236,Oredo Edo,247667,0.242132,19192
163,NGA,Nigeria,12,Edo,237,Orhionmw,239929,0.0694722,17341
163,NGA,Nigeria,12,Edo,238,OviaNort,199784,0.129995,21877
163,NGA,Nigeria,12,Edo,239,OviaSouth-West,202318,0.187835,39833
163,NGA,Nigeria,12,Edo,240,Owan East,184159,0.306794,53376
163,NGA,Nigeria,12,Edo,241,OwanWest,116181,0.196604,22233
163,NGA,Nigeria,12,Edo,242,Uhunmwonde,251427,0.153124,34785
163,NGA,Nigeria,13,Ekiti,243,Ado-Ekiti,374017,0.181694,22638
163,NGA,Nigeria,13,Ekiti,244,Efon,157464,0.140753,20525
163,NGA,Nigeria,13,Ekiti,245,EkitiEas,86808,0.0892168,6531
163,NGA,Nigeria,13,Ekiti,246,EkitiSouth-West,150482,0.145008,21189
163,NGA,Nigeria,13,Ekiti,247,EkitiWest,163226,0.134906,22636
163,NGA,Nigeria,13,Ekiti,248,Emure/Ise/Orun,216388,0.185741,43952
163,NGA,Nigeria,13,Ekiti,249,Gboyin,122218,0.172516,22203
163,NGA,Nigeria,13,Ekiti,250,Ido/Osi,195374,0.100714,19283
163,NGA,Nigeria,13,Ekiti,251,Ijero,319931,0.127208,36285
163,NGA,Nigeria,13,Ekiti,252,Ikere,201756,0.17458,31348
163,NGA,Nigeria,13,Ekiti,253,Ikole,200090,0.198131,34663
163,NGA,Nigeria,13,Ekiti,254,Ilejemeje,64913,0.0721758,4638
